City,Month,Domestic Price,Domestic Change,Commercial Price,Commercial Change,Distance_to_Port_km,Nearest_Port
Hyderabad,Febraury 2026,₹ 845.0,—,₹ 1817.5,▲ ₹49.5,496.58,"Ennore Port, Tamil Nadu"
Imphal,April 2026,₹ 1064.5,—,₹ 2552.5,▲ ₹220,674.64,"Haldia Port, West Bengal"
Imphal,March 2026,₹ 1064.5,▲ ₹60,₹ 2332.5,▲ ₹144,674.64,"Haldia Port, West Bengal"
Imphal,Febraury 2026,₹ 1004.5,—,₹ 2188.5,▲ ₹49.5,674.64,"Haldia Port, West Bengal"
Itanagar,April 2026,₹ 978.5,—,₹ 2331.5,▲ ₹220,795.71,"Haldia Port, West Bengal"
Itanagar,March 2026,₹ 978.5,▲ ₹60,₹ 2111.5,▲ ₹144,795.71,"Haldia Port, West Bengal"
Itanagar,Febraury 2026,₹ 918.5,—,₹ 1967.5,▲ ₹49.5,795.71,"Haldia Port, West Bengal"
Jaipur,April 2026,₹ 916.5,—,₹ 2106.0,▲ ₹193,711.64,"Kandla Port, Gujarat"
Jaipur,March 2026,₹ 916.5,▲ ₹60,₹ 1913.0,▲ ₹144,711.64,"Kandla Port, Gujarat"
Jaipur,Febraury 2026,₹ 856.5,—,₹ 1769.0,▲ ₹49.5,711.64,"Kandla Port, Gujarat"
Kavaratti,April 2026,₹ 933.0,—,₹ 2149.5,▲ ₹200,351.79,"Mangalore Port, Karnataka"
Kavaratti,March 2026,₹ 933.0,▲ ₹60,₹ 1949.5,▲ ₹144,351.79,"Mangalore Port, Karnataka"
Kavaratti,Febraury 2026,₹ 873.0,—,₹ 1805.5,▲ ₹49.5,351.79,"Mangalore Port, Karnataka"
Kohima,April 2026,₹ 932.0,—,₹ 2182.5,▲ ₹219,735.53,"Haldia Port, West Bengal"
Kohima,March 2026,₹ 932.0,▲ ₹60,₹ 1963.5,▲ ₹144,735.53,"Haldia Port, West Bengal"
Kohima,Febraury 2026,₹ 872.0,—,₹ 1819.5,▲ ₹49.5,735.53,"Haldia Port, West Bengal"
Kolkata,April 2026,₹ 939.0,—,₹ 2208.5,▲ ₹220,68.26,"Haldia Port, West Bengal"
