City,Month,Domestic Price,Domestic Change,Commercial Price,Commercial Change
Mumbai,April 2026,₹ 912.5,—,₹ 2031.0,▲ ₹195
Mumbai,March 2026,₹ 912.5,▲ ₹60,₹ 1836.0,▲ ₹144
Mumbai,Febraury 2026,₹ 852.5,—,₹ 1692.0,▲ ₹49.5
New Delhi,April 2026,₹ 913.0,—,₹ 2078.5,▲ ₹194
New Delhi,March 2026,₹ 913.0,▲ ₹60,₹ 1884.5,▲ ₹144
New Delhi,Febraury 2026,₹ 853.0,—,₹ 1740.5,▲ ₹49.5
Patna,April 2026,₹ 1002.5,—,₹ 2353.5,▲ ₹220
Patna,March 2026,₹ 1002.5,▲ ₹60,₹ 2133.5,▲ ₹144
Patna,Febraury 2026,₹ 942.5,—,₹ 1989.5,▲ ₹49.5
Pondicherry,April 2026,₹ 925.0,—,₹ 2245.5,▲ ₹203
Pondicherry,March 2026,₹ 925.0,▲ ₹60,₹ 2042.5,▲ ₹144
Pondicherry,Febraury 2026,₹ 865.0,—,₹ 1898.5,▲ ₹49.5
Port Blair,April 2026,₹ 989.0,—,₹ 2496.5,▲ ₹219
Port Blair,March 2026,₹ 989.0,▲ ₹60,₹ 2277.5,▲ ₹144
Port Blair,Febraury 2026,₹ 929.0,—,₹ 2133.5,▲ ₹49.5
Raipur,April 2026,₹ 984.0,—,₹ 2299.5,▲ ₹214
Raipur,March 2026,₹ 984.0,▲ ₹60,₹ 2085.5,▲ ₹144
Raipur,Febraury 2026,₹ 924.0,—,₹ 1941.5,▲ ₹49.5
Ranchi,April 2026,₹ 970.5,—,₹ 2258.0,▲ ₹220
Ranchi,March 2026,₹ 970.5,▲ ₹60,₹ 2038.0,▲ ₹144
Ranchi,Febraury 2026,₹ 910.5,—,₹ 1894.0,▲ ₹49.5
Shillong,April 2026,₹ 980.0,—,₹ 2331.0,▲ ₹220
Shillong,March 2026,₹ 980.0,▲ ₹60,₹ 2111.0,▲ ₹144
Shillong,Febraury 2026,₹ 920.0,—,₹ 1967.0,▲ ₹49.5
Shimla,April 2026,₹ 958.5,—,₹ 2191.5,▲ ₹195
Shimla,March 2026,₹ 958.5,▲ ₹60,₹ 1996.5,▲ ₹144
Shimla,Febraury 2026,₹ 898.5,—,₹ 1852.5,▲ ₹49.5
Silvassa,April 2026,₹ 927.5,—,₹ 2062.0,▲ ₹194
Silvassa,March 2026,₹ 927.5,▲ ₹60,₹ 1868.0,▲ ₹144
Silvassa,Febraury 2026,₹ 867.5,—,₹ 1724.0,▲ ₹49.5
Srinagar,April 2026,₹ 1029.0,—,₹ 2385.0,▲ ₹195
Srinagar,March 2026,₹ 1029.0,▲ ₹60,₹ 2190.0,▲ ₹144
Srinagar,Febraury 2026,₹ 969.0,—,₹ 2046.0,▲ ₹49.5
Thiruvananthapuram,April 2026,₹ 922.0,—,₹ 2112.0,▲ ₹200
Thiruvananthapuram,March 2026,₹ 922.0,▲ ₹60,₹ 1912.0,▲ ₹144
Thiruvananthapuram,Febraury 2026,₹ 862.0,—,₹ 1768.0,▲ ₹49.5
